timestamp,consumption_kwh,voltage,temperature,load_factor,is_peak_hour,maintenance_status,efficiency_class
2024-01-01 00:00,296.0,241.9,35.9,0.51,No,Normal,Efficient
2024-01-01 01:00,124.6,234.3,31.3,0.35,No,Normal,Efficient
2024-01-01 02:00,148.4,228.6,37.0,0.46,No,Normal,Efficient
2024-01-01 03:00,121.7,236.6,30.4,0.7,No,Scheduled,Moderate
2024-01-01 04:00,310.3,232.7,28.5,0.92,No,Normal,Inefficient
2024-01-01 05:00,208.9,239.4,26.4,0.2,No,Normal,Very Efficient
2024-01-01 06:00,141.6,235.6,30.8,0.64,No,Normal,Moderate
2024-01-01 07:00,312.7,234.9,37.7,0.8,No,Required,Inefficient
2024-01-01 08:00,144.4,234.2,25.1,0.35,No,Normal,Efficient
2024-01-01 09:00,270.7,228.0,34.2,0.51,No,Normal,Efficient
2024-01-01 10:00,301.4,233.1,41.5,0.74,No,Normal,Moderate
2024-01-01 11:00,147.8,234.6,29.2,0.38,No,Normal,Efficient
2024-01-01 12:00,210.5,237.4,25.5,0.52,No,Normal,Efficient
2024-01-01 13:00,252.5,237.2,37.6,0.46,No,Scheduled,Efficient
2024-01-01 14:00,293.6,235.3,28.3,0.88,No,Required,Inefficient
2024-01-01 15:00,268.6,237.7,36.2,0.2,No,Normal,Very Efficient
2024-01-01 16:00,143.9,241.4,30.5,0.43,No,Normal,Efficient
2024-01-01 17:00,167.3,235.3,25.2,0.32,No,Scheduled,Very Efficient
2024-01-01 18:00,224.3,230.3,24.8,0.83,Yes,Normal,Inefficient
2024-01-01 19:00,166.3,231.2,29.6,0.45,Yes,Normal,Efficient
2024-01-01 20:00,170.6,234.5,29.1,0.73,Yes,Normal,Moderate
2024-01-01 21:00,218.0,240.1,37.5,0.52,Yes,Required,Efficient
2024-01-01 22:00,192.8,241.2,39.3,0.42,Yes,Normal,Efficient
2024-01-01 23:00,260.3,234.6,28.6,0.42,No,Normal,Efficient
2024-01-02 00:00,272.4,232.6,28.8,0.34,No,Required,Very Efficient
2024-01-02 01:00,204.4,226.8,33.5,0.89,No,Normal,Inefficient
2024-01-02 02:00,331.9,227.8,33.0,0.53,No,Normal,Efficient
2024-01-02 03:00,309.9,227.5,37.9,0.67,No,Normal,Moderate
2024-01-02 04:00,283.2,236.1,32.8,0.66,No,Normal,Moderate
2024-01-02 05:00,294.5,226.8,28.5,0.46,No,Required,Efficient
2024-01-02 06:00,172.3,237.6,32.9,0.51,No,Normal,Efficient
2024-01-02 07:00,328.8,236.1,38.8,0.91,No,Normal,Inefficient
2024-01-02 08:00,305.8,237.3,24.8,0.21,No,Normal,Very Efficient
2024-01-02 09:00,290.9,233.4,33.6,0.49,No,Normal,Efficient
2024-01-02 10:00,146.5,241.0,31.5,0.8,No,Normal,Inefficient
2024-01-02 11:00,240.0,230.8,41.6,0.84,No,Normal,Inefficient
2024-01-02 12:00,152.9,227.8,40.1,0.72,No,Normal,Moderate
2024-01-02 13:00,323.8,232.2,33.6,0.92,No,Scheduled,Inefficient
2024-01-02 14:00,187.9,240.3,34.8,0.61,No,Normal,Moderate
2024-01-02 15:00,246.8,227.4,37.8,0.72,No,Normal,Moderate
