timestamp,consumption_kwh,voltage,temperature,load_factor,is_peak_hour,maintenance_status,efficiency_class
2024-01-01 00:00,227.2,235.6,24.3,0.54,0,Healthy,Moderate
2024-01-01 01:00,244.1,237.6,24.4,0.58,0,Healthy,Moderate
2024-01-01 02:00,245.9,235.2,27.6,0.59,0,Healthy,Moderate
2024-01-01 03:00,254.9,238.6,27.6,0.61,0,Healthy,Moderate
2024-01-01 04:00,263.6,237.9,31.2,0.63,0,Healthy,Inefficient
2024-01-01 05:00,271.8,233.3,30.2,0.65,0,Healthy,Inefficient
2024-01-01 06:00,275.5,236.5,30.7,0.66,0,Healthy,Inefficient
2024-01-01 07:00,267.3,237.1,30.4,0.64,0,Healthy,Inefficient
2024-01-01 08:00,281.9,235.9,31.1,0.67,0,Healthy,Inefficient
2024-01-01 09:00,247.6,232.1,26.4,0.59,0,Healthy,Moderate
2024-01-01 10:00,251.2,233.9,28.8,0.6,0,Healthy,Moderate
2024-01-01 11:00,239.5,235.4,27.1,0.57,0,Healthy,Moderate
2024-01-01 12:00,218.7,235.7,23.7,0.52,0,Healthy,Moderate
2024-01-01 13:00,211.7,232.8,23.8,0.5,0,Healthy,Moderate
2024-01-01 14:00,194.6,235.0,20.7,0.46,0,Healthy,Efficient
2024-01-01 15:00,200.4,235.3,21.0,0.48,0,Healthy,Moderate
2024-01-01 16:00,183.1,235.5,20.2,0.44,0,Healthy,Efficient
2024-01-01 17:00,183.6,231.9,17.7,0.44,0,Healthy,Efficient
2024-01-01 18:00,175.1,232.3,19.1,0.42,1,Healthy,Efficient
2024-01-01 19:00,193.9,234.5,19.4,0.46,1,Healthy,Efficient
2024-01-01 20:00,181.6,233.2,18.5,0.43,1,Healthy,Efficient
2024-01-01 21:00,189.2,232.0,20.2,0.45,1,Healthy,Efficient
2024-01-01 22:00,197.4,236.2,20.8,0.47,1,Healthy,Efficient
2024-01-01 23:00,223.9,234.8,23.7,0.53,0,Healthy,Moderate
2024-01-02 00:00,225.5,231.0,23.4,0.54,0,Healthy,Moderate
2024-01-02 01:00,238.5,233.6,26.4,0.57,0,Healthy,Moderate
2024-01-02 02:00,247.1,235.7,25.3,0.59,0,Healthy,Moderate
2024-01-02 03:00,267.7,236.4,27.8,0.64,0,Healthy,Inefficient
2024-01-02 04:00,267.2,238.3,28.2,0.64,0,Healthy,Inefficient
2024-01-02 05:00,275.6,231.5,29.9,0.66,0,Healthy,Inefficient
2024-01-02 06:00,274.2,234.2,30.0,0.65,0,Healthy,Inefficient
2024-01-02 07:00,274.5,235.3,29.5,0.65,0,Healthy,Inefficient
2024-01-02 08:00,262.0,234.5,29.2,0.62,0,Healthy,Inefficient
2024-01-02 09:00,263.3,231.3,30.1,0.63,0,Healthy,Inefficient
2024-01-02 10:00,248.2,231.4,25.0,0.59,0,Healthy,Moderate
2024-01-02 11:00,229.0,234.6,23.9,0.55,0,Healthy,Moderate
2024-01-02 12:00,231.7,234.7,26.0,0.55,0,Healthy,Moderate
2024-01-02 13:00,215.4,234.6,22.2,0.51,0,Healthy,Moderate
2024-01-02 14:00,214.3,236.6,21.9,0.51,0,Healthy,Moderate
2024-01-02 15:00,197.2,238.3,19.5,0.47,0,Healthy,Efficient
2024-01-02 16:00,179.2,236.0,17.4,0.43,0,Healthy,Efficient
2024-01-02 17:00,187.0,235.7,19.0,0.45,0,Healthy,Efficient
2024-01-02 18:00,183.2,237.5,19.3,0.44,1,Healthy,Efficient
2024-01-02 19:00,185.1,237.9,20.1,0.44,1,Healthy,Efficient
2024-01-02 20:00,196.9,231.4,19.7,0.47,1,Healthy,Efficient
2024-01-02 21:00,203.4,238.7,21.4,0.48,1,Healthy,Moderate
2024-01-02 22:00,204.0,236.4,22.9,0.49,1,Healthy,Moderate
2024-01-02 23:00,214.8,238.4,21.0,0.51,0,Healthy,Moderate
2024-01-03 00:00,222.6,231.6,22.8,0.53,0,Healthy,Moderate
2024-01-03 01:00,231.8,231.8,24.3,0.55,0,Healthy,Moderate
2024-01-03 02:00,263.3,234.7,29.0,0.63,0,Healthy,Inefficient
2024-01-03 03:00,267.1,235.2,29.2,0.64,0,Healthy,Inefficient
2024-01-03 04:00,271.4,235.4,28.9,0.65,0,Healthy,Inefficient
2024-01-03 05:00,268.9,236.0,28.9,0.64,0,Healthy,Inefficient
2024-01-03 06:00,270.2,235.9,30.5,0.64,0,Healthy,Inefficient
2024-01-03 07:00,283.8,236.2,31.3,0.68,0,Healthy,Inefficient
2024-01-03 08:00,263.8,231.7,27.5,0.63,0,Healthy,Inefficient
2024-01-03 09:00,252.8,234.7,26.5,0.6,0,Healthy,Moderate
2024-01-03 10:00,256.1,233.3,28.0,0.61,0,Healthy,Moderate
2024-01-03 11:00,241.8,235.1,26.3,0.58,0,Healthy,Moderate
2024-01-03 12:00,225.0,233.7,23.1,0.54,0,Healthy,Moderate
2024-01-03 13:00,217.4,234.6,23.4,0.52,0,Healthy,Moderate
2024-01-03 14:00,203.9,236.5,20.9,0.49,0,Healthy,Moderate
2024-01-03 15:00,202.5,234.2,20.6,0.48,0,Healthy,Moderate
2024-01-03 16:00,199.0,238.9,20.0,0.47,0,Healthy,Efficient
2024-01-03 17:00,175.7,237.8,19.1,0.42,0,Healthy,Efficient
2024-01-03 18:00,173.9,233.6,19.3,0.41,1,Healthy,Efficient
2024-01-03 19:00,186.0,235.9,17.5,0.44,1,Healthy,Efficient
2024-01-03 20:00,179.2,232.3,17.9,0.43,1,Healthy,Efficient
2024-01-03 21:00,197.3,238.5,18.1,0.47,1,Healthy,Efficient
2024-01-03 22:00,207.2,238.6,19.9,0.49,1,Healthy,Moderate
2024-01-03 23:00,214.8,234.5,21.2,0.51,0,Healthy,Moderate
2024-01-04 00:00,239.2,231.1,25.9,0.57,0,Healthy,Moderate
2024-01-04 01:00,244.8,235.6,24.4,0.58,0,Healthy,Moderate
2024-01-04 02:00,257.9,237.1,27.1,0.61,0,Healthy,Moderate
2024-01-04 03:00,261.5,231.4,30.1,0.62,0,Healthy,Inefficient
2024-01-04 04:00,261.3,235.5,30.0,0.62,0,Healthy,Inefficient
2024-01-04 05:00,274.1,235.8,31.2,0.65,0,Healthy,Inefficient
2024-01-04 06:00,265.6,235.8,28.7,0.63,0,Healthy,Inefficient
2024-01-04 07:00,286.4,231.2,31.3,0.68,0,Healthy,Inefficient
2024-01-04 08:00,322.8,234.2,30.9,0.77,0,Warning,Inefficient
2024-01-04 09:00,258.9,232.2,28.6,0.62,0,Healthy,Moderate
2024-01-04 10:00,258.6,235.9,28.5,0.62,0,Healthy,Moderate
2024-01-04 11:00,251.6,232.4,26.4,0.6,0,Healthy,Moderate
2024-01-04 12:00,237.0,233.7,25.3,0.56,0,Healthy,Moderate
2024-01-04 13:00,215.5,232.6,22.7,0.51,0,Healthy,Moderate
2024-01-04 14:00,197.0,238.5,20.7,0.47,0,Healthy,Efficient
2024-01-04 15:00,194.9,235.6,18.5,0.46,0,Healthy,Efficient
2024-01-04 16:00,197.0,233.9,20.7,0.47,0,Healthy,Efficient
2024-01-04 17:00,172.6,231.4,17.7,0.41,0,Healthy,Efficient
2024-01-04 18:00,188.4,231.4,17.2,0.45,1,Healthy,Efficient
2024-01-04 19:00,182.7,233.9,16.9,0.43,1,Healthy,Efficient
2024-01-04 20:00,193.6,231.3,17.5,0.46,1,Healthy,Efficient
2024-01-04 21:00,194.0,233.8,20.1,0.46,1,Healthy,Efficient
2024-01-04 22:00,195.4,234.2,19.8,0.47,1,Healthy,Efficient
2024-01-04 23:00,217.3,237.2,23.5,0.52,0,Healthy,Moderate
2024-01-05 00:00,224.5,238.0,25.5,0.53,0,Healthy,Moderate
2024-01-05 01:00,239.3,235.1,25.9,0.57,0,Healthy,Moderate
2024-01-05 02:00,252.5,231.8,28.6,0.6,0,Healthy,Moderate
